checklist_item_id,action_id,task_type,task_description,severity,status,assigned_to
CHK-52F0804B,ACT-0042,assign_approver,Assign approver for Open-Item Tracker,high,open,openclaw
CHK-306F0699,ACT-0045,assign_approver,Assign approver for Follow-Up Scheduling,high,open,openclaw
CHK-4A77F95C,ACT-0027,approve_action,Review and approve Project Milestone Slippage Detection,low,open,openclaw
CHK-9962B522,ACT-0047,approve_action,Review and approve Energy Market Data Digest,low,open,openclaw
CHK-A8912902,ACT-0039,assign_approver,Assign approver for Inbox Zero Routing,high,open,openclaw
CHK-177CF084,ACT-0034,assign_approver,Assign approver for Note Organization,high,open,openclaw
CHK-6C63AA55,ACT-0018,approve_action,Review and approve Budget Variance Alert,low,open,openclaw
CHK-789F0928,ACT-0048,approve_action,Review and approve Competitive Intelligence Monitoring,low,open,openclaw
CHK-3DD6AE76,ACT-0040,approve_action,Review and approve File Naming and Routing Standards,low,open,openclaw
CHK-C2B888A9,ACT-0049,assign_approver,Assign approver for Expense Report Reminder,high,open,openclaw
CHK-58E8CD37,ACT-0051,define_trigger,Define trigger condition for Real-Time Project Dashboard Generation,high,open,
CHK-A4AAEC21,ACT-0051,assign_owner,Assign owner for Real-Time Project Dashboard Generation,high,open,
CHK-CD5F4689,ACT-0051,define_success_metric,Define success metric for Real-Time Project Dashboard Generation,medium,open,
CHK-3CB3A40A,ACT-0052,define_trigger,Define trigger condition for Vendor Performance Scorecard,high,open,
CHK-B2E9A5B2,ACT-0052,assign_owner,Assign owner for Vendor Performance Scorecard,high,open,
CHK-1E6183BF,ACT-0052,define_success_metric,Define success metric for Vendor Performance Scorecard,medium,open,
CHK-1DF13209,ACT-0053,define_trigger,Define trigger condition for Monthly Financial Close Checklist,high,open,
CHK-E60BE587,ACT-0053,assign_owner,Assign owner for Monthly Financial Close Checklist,high,open,
CHK-1BE9924E,ACT-0053,define_success_metric,Define success metric for Monthly Financial Close Checklist,medium,open,
CHK-97FEB6A5,ACT-0054,define_trigger,Define trigger condition for Board Meeting Prep Pack,high,open,
CHK-710C62F4,ACT-0054,assign_owner,Assign owner for Board Meeting Prep Pack,high,open,
CHK-B5DDC115,ACT-0054,define_success_metric,Define success metric for Board Meeting Prep Pack,medium,open,
CHK-F5BF9F89,ACT-0055,define_trigger,Define trigger condition for Due Diligence Room Organization,high,open,
CHK-8A2768C1,ACT-0055,assign_owner,Assign owner for Due Diligence Room Organization,high,open,
CHK-9093156F,ACT-0055,define_success_metric,Define success metric for Due Diligence Room Organization,medium,open,
