rank,action_id,action_name,action_category,execution_mode,status,composite_score,profit_impact_score,time_saved_score,risk_score,owner,enabled
1,ACT-0015,Invoice Follow-Up,revenue_acceleration,draft_then_review,enabled,8.95,10,8,1,openclaw,True
2,ACT-0012,Proposal Follow-Up Reminder,revenue_acceleration,draft_then_review,enabled,8.75,10,7,1,openclaw,True
3,ACT-0011,Stale Deal Detection,revenue_acceleration,draft_then_review,enabled,8.7,10,7,2,openclaw,True
4,ACT-0001,Daily Priority Brief,ceo_leverage,draft_then_review,enabled,8.65,8,9,2,openclaw,True
5,ACT-0022,Missing Signature Alert,revenue_acceleration,draft_then_review,enabled,8.15,9,7,1,openclaw,True
6,ACT-0021,Weekly Pipeline Review Pack,revenue_acceleration,draft_then_review,enabled,8.1,9,8,1,openclaw,True
7,ACT-0017,Meeting-to-Revenue Conversion Prompt,revenue_acceleration,draft_then_review,enabled,8.05,9,7,1,openclaw,True
8,ACT-0004,Commitments Tracker,ceo_leverage,draft_then_review,enabled,8.0,8,7,2,openclaw,True
9,ACT-0020,Utility/Interconnection Follow-Up,revenue_acceleration,draft_then_review,enabled,7.95,9,7,2,openclaw,True
10,ACT-0010,Inbox Priority Triage,ceo_leverage,recommend_only,enabled,7.9,6,9,2,openclaw,True
11,ACT-0002,Pre-Meeting Dossier,ceo_leverage,draft_then_review,enabled,7.85,7,8,2,openclaw,True
12,ACT-0009,Post-Meeting Action Extraction,ceo_leverage,draft_then_review,enabled,7.85,7,8,2,openclaw,True
13,ACT-0042,Open-Item Tracker,execution_control,auto_execute,enabled,7.85,7,7,1,openclaw,True
14,ACT-0045,Follow-Up Scheduling,execution_control,auto_execute,enabled,7.85,7,7,1,openclaw,True
15,ACT-0005,Approval Batch Window,ceo_leverage,draft_then_review,enabled,7.8,7,9,2,openclaw,True
16,ACT-0007,Partner Relationship Watchlist,ceo_leverage,recommend_only,enabled,7.8,9,6,2,openclaw,True
17,ACT-0014,Contract Status Tracker,revenue_acceleration,draft_then_review,enabled,7.75,9,7,3,openclaw,True
18,ACT-0016,Diligence Checklist Management,revenue_acceleration,draft_then_review,enabled,7.75,9,7,3,openclaw,True
19,ACT-0033,Task Capture from Email,admin_elimination,recommend_only,enabled,7.75,7,8,2,openclaw,True
20,ACT-0006,Weekly CEO Intelligence Brief,ceo_leverage,draft_then_review,enabled,7.7,8,8,2,openclaw,True
21,ACT-0031,Recurring Status Report Generation,admin_elimination,draft_then_review,enabled,7.7,6,9,1,openclaw,True
22,ACT-0029,Open Approval Queue,execution_control,recommend_only,enabled,7.65,7,7,2,openclaw,True
23,ACT-0043,Responsibility Assignment After Meeting,execution_control,draft_then_review,enabled,7.65,7,7,2,openclaw,True
24,ACT-0027,Project Milestone Slippage Detection,execution_control,recommend_only,proposed,7.55,8,7,2,openclaw,False
25,ACT-0030,Blocker Escalation,execution_control,recommend_only,enabled,7.55,8,7,2,openclaw,True
26,ACT-0013,Prospect Prioritization,revenue_acceleration,recommend_only,enabled,7.5,9,6,2,openclaw,True
27,ACT-0026,Vendor Deadline Monitor,execution_control,recommend_only,enabled,7.5,8,7,2,openclaw,True
28,ACT-0044,Unresolved Commercial Issue Summary,execution_control,recommend_only,enabled,7.5,9,6,2,openclaw,True
29,ACT-0047,Energy Market Data Digest,execution_control,draft_then_review,proposed,7.5,7,7,1,openclaw,False
30,ACT-0024,Permitting Deadline Monitor,revenue_acceleration,recommend_only,enabled,7.45,9,6,2,openclaw,True
31,ACT-0019,Commercial Risk Flag,revenue_acceleration,recommend_only,enabled,7.4,9,6,3,openclaw,True
32,ACT-0028,Document Collection Reminder,execution_control,draft_then_review,enabled,7.3,7,7,1,openclaw,True
33,ACT-0003,Low-Value Meeting Flag,ceo_leverage,recommend_only,enabled,7.25,6,9,3,openclaw,True
34,ACT-0039,Inbox Zero Routing,admin_elimination,auto_execute,enabled,7.15,4,9,2,openclaw,True
35,ACT-0041,Permit Application Status Follow-Up,execution_control,draft_then_review,enabled,7.15,8,6,2,openclaw,True
36,ACT-0038,Repetitive Work Pattern Detection,admin_elimination,recommend_only,enabled,7.1,7,8,1,openclaw,True
37,ACT-0023,Partner Response Escalation,revenue_acceleration,recommend_only,enabled,7.05,8,6,2,openclaw,True
38,ACT-0032,Meeting Agenda Drafting,admin_elimination,draft_then_review,enabled,7.05,5,8,1,openclaw,True
39,ACT-0037,Delegation Opportunity Detection,admin_elimination,recommend_only,enabled,7.05,6,9,2,openclaw,True
40,ACT-0036,Routine Email Reply Drafting,admin_elimination,draft_then_review,enabled,7.0,5,8,2,openclaw,True
41,ACT-0046,CRM Hygiene Run,execution_control,recommend_only,enabled,7.0,7,7,1,openclaw,True
42,ACT-0035,Unresolved Issue Escalation Summary,admin_elimination,recommend_only,enabled,6.95,7,7,2,openclaw,True
43,ACT-0008,Focus Block Protection,ceo_leverage,recommend_only,enabled,6.9,6,8,1,openclaw,True
44,ACT-0034,Note Organization,admin_elimination,auto_execute,enabled,6.9,5,8,1,openclaw,True
45,ACT-0018,Budget Variance Alert,revenue_acceleration,recommend_only,proposed,6.8,8,6,3,openclaw,False
46,ACT-0050,Action Allowlist Self-Review,execution_control,recommend_only,enabled,6.8,7,7,1,openclaw,True
47,ACT-0025,Investor Update Draft,revenue_acceleration,draft_then_review,enabled,6.7,8,7,3,openclaw,True
48,ACT-0048,Competitive Intelligence Monitoring,execution_control,draft_then_review,proposed,6.35,7,6,2,openclaw,False
49,ACT-0040,File Naming and Routing Standards,admin_elimination,recommend_only,proposed,6.2,4,7,2,openclaw,False
50,ACT-0049,Expense Report Reminder,admin_elimination,auto_execute,enabled,5.5,4,5,1,openclaw,True
51,ACT-0051,Real-Time Project Dashboard Generation,execution_control,manual_only,proposed,0.6,5,5,3,,False
52,ACT-0052,Vendor Performance Scorecard,execution_control,manual_only,proposed,0.6,5,5,3,,False
53,ACT-0053,Monthly Financial Close Checklist,admin_elimination,manual_only,proposed,0.6,5,5,3,,False
54,ACT-0054,Board Meeting Prep Pack,ceo_leverage,manual_only,proposed,0.6,5,5,3,,False
